;Unnamed: 0;Unnamed: 0.1;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
185;185;185;Tick;186;lvmh;0.014;0.013;0.014;122243;0.023601868117024017;30937671;7.160041992995695;28.221714992815052
186;186;186;Tick;187;lvmh;0.014;0.013;0.014;60000;0.02353903928033619;30997671;7.1943387453827325;28.24951376277248
187;187;187;Tick;188;lvmh;0.015;0.014;0.015;276092;0.02347670942078537;31273763;7.209603974512347;28.27697860686193
188;188;188;Tick;189;lvmh;0.015;0.014;0.015;4500;0.02343305791901924;31278263;7.20849195992771;28.368390939749155
189;189;189;Tick;190;lvmh;0.015;0.014;0.015;10100;0.02338958819119501;31288363;7.205997353528267;28.458200158660432
190;190;190;Tick;191;lvmh;0.015;0.014;0.015;459060;0.023346300251854368;31747423;7.156328594366468;28.54644827471981
191;191;191;Tick;192;lvmh;0.016;0.014;0.016;1592374;0.0233031940660223;33339797;7.178133650210491;28.633175837368043
192;192;192;Tick;193;lvmh;0.016;0.015;0.016;801549;0.023334430290843963;34141346;7.043944384366545;28.693983487184287
193;193;193;Tick;194;lvmh;0.017;0.016;0.016;1361388;0.023364351453133952;35502734;7.153803667094243;28.75307358898039
194;194;194;Tick;195;lvmh;0.017;0.016;0.016;436525;0.0233929969428152;35939259;7.098430045895038;28.8105179575133
195;195;195;Tick;196;lvmh;0.017;0.016;0.016;36405;0.02342040473991299;35975664;7.096418577294026;28.86638445588252
196;196;196;Tick;197;lvmh;0.017;0.016;0.017;277500;0.023446611476790988;36253164;7.28732853688866;28.92073726383968
197;197;197;Tick;198;lvmh;0.017;0.016;0.017;120000;0.02359589342825812;36373164;7.510807783140863;28.86836437934417
198;198;198;Tick;199;lvmh;0.017;0.016;0.016;544857;0.023740655536954067;36918021;7.439135900913223;28.818201831883258
199;199;199;Tick;200;lvmh;0.017;0.016;0.017;285967;0.02376105610914548;37203988;7.427959732347096;28.869806680317005
200;200;200;Tick;201;lvmh;0.017;0.016;0.017;52503;0.02389928616919306;37256491;7.423848535523087;28.821070743488804
201;201;201;Tick;202;lvmh;0.017;0.016;0.016;401699;0.024033409581651226;37658190;7.374958403034655;28.774284682339218
202;202;202;Tick;203;lvmh;0.017;0.016;0.016;1015389;0.02404861830874027;38673579;7.36168731746628;28.823373625187433
203;203;203;Tick;204;lvmh;0.017;0.016;0.016;120100;0.02406293265769096;38793679;7.337224314547762;28.87128164676603
